| Inst | Syntax | Mode | Size |C|Z|V|N| Symbolic | Description |
| RTS | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BZS | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BZC | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BCS | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BCC | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BNS | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BNS | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BVS | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BVC | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BGE | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BGT | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| BLT | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| ADDA | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| SUBA | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| CMPA | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| USE | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| UNUSE | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| RND | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| DEBUG | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| OK | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| ERR | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
| HALT | ------ | ---- | ---- |-|-|-|-| -------- | ----------- | 
